campaing_id,campaing_code,valid_from,valid_to,loyalty_card,description
133,70161000000RCXd,02-13-2000,14-02-2000,0,BASE CAMPANA PROSPECTS CORDOBA NOVIEMBRE 2011
134,70161000000RCXe,02-14-2000,15-02-2000,0,BASE HOJA INFORMATIVA DE VERANO
135,70161000000RCXf,02-15-2000,16-02-2000,0,BASE BUENOS AIRES NOVIEMBRE 2011
136,70161000000RCXg,02-16-2000,17-02-2000,0,CHAXCHA
137,70161000000RCXh,02-17-2000,18-02-2000,0,NAVIDAD 2011
138,70161000000RCXi,02-18-2000,19-02-2000,0,PROSPECTS CORDOBA NAVIDAD 2011
139,70161000000RCXj,02-19-2000,20-02-2000,0,PROPECTS CABA NAVIDAD 2011
140,70161000000RCXk,02-20-2000,21-02-2000,0,REYES 2011
141,70161000000RCXl,02-21-2000,22-02-2000,0,HOJA MEMORIA 2011
142,70161000000RCXm,02-22-2000,23-02-2000,0,MARZO 2012 - SIN ESPECIFICA
143,70161000000RCXn,02-23-2000,24-02-2000,0,CARTA DE MISIONEROS 2012
144,70161000000RCXo,02-24-2000,25-02-2000,0,HOJA INFORMATIVA OTOÑO 2012
145,70161000000RCXp,02-25-2000,26-02-2000,0,PROSPECCION CABA MAYO 2012
146,70161000000RCXq,02-26-2000,27-02-2000,0,REPESCA 2012
147,70161000000RCXr,02-27-2000,28-02-2000,0,CHICOS DE LA CALLE - VILLA REGINA 2012
148,70161000000RCXs,02-28-2000,29-02-2000,0,PROPECTS DIGITAL
88,70161000000RCWv,02-29-2000,01-03-2000,0,PROSPECCION OCTUBRE 2009 BA
89,70161000000RCWw,03-01-2000,02-03-2000,0,HOJA INFORMATIVA 67 PRIMAVERA
90,70161000000RCWx,03-02-2000,03-03-2000,0,PROSPECCION NOVIEMBRE 2009 STC Y DP
91,70161000000RCWy,03-03-2000,04-03-2000,0,PROSPECTS NOVIEMBRE 2009
92,70161000000RCWz,03-04-2000,05-03-2000,0,NAVIDAD 2009
93,70161000000RCX0,03-05-2000,06-03-2000,0,PROSPECCION DICIEMBRE 2009
94,70161000000RCX1,03-06-2000,07-03-2000,0,PROSPECION NAVIDAD 2009 CORREO GRUPAL
95,70161000000RCX2,03-07-2000,08-03-2000,0,REYES 2009
